CHAVE_IBGE,Cidade,QTDE_PRODUZIDA_AGRO,QTD_ESTAB_AGRO,ESTAB_KM_AGRO,QTDE_PRODUZIDA_PEC,QTD_ESTAB_PEC
4104105,Campo do Tenente (PR),39996,89,2,259037,1715
4100301,Agudos do Sul (PR),13979,11,6,65952,112
4102307,Balsa Nova (PR),37952,96,1,42424,220
4106209,Contenda (PR),76149,38,7,176148,191
4113205,Lapa (PR),241410,70,2,1949990,1170
4114302,Mandirituba (PR),12217,14,2,800997,2256
4119103,Piên (PR),28376,15,8,315287,367
4121208,Quitandinha (PR),43750,19,5,542429,531
4122305,Rio Negro (PR),63917,36,3,1404876,2081
4127601,Tijucas do Sul (PR),17788,24,1,24978,51
4103107,Bocaiúva do Sul (PR),1144,4,0,23716,76
4127882,Tunas do Paraná (PR),436,2,0,8057,75
4100202,Adrianópolis (PR),6299,6,1,39151,72
4105201,Cerro Azul (PR),15342,5,3,105409,65
4128633,Doutor Ulysses (PR),9146,4,4,57499,62
