cidade,chave_ibge,cl_kmeans
Adrianópolis,4100202,2
Agudos do Sul,4100301,2
Almirante Tamandaré,4100400,4
Araucária,4101804,3
Balsa Nova,4102307,2
Bocaiúva do Sul,4103107,2
Campina Grande do Sul,4104006,4
Campo do Tenente,4104105,2
Campo Largo,4104204,3
Campo Magro,4104253,3
Cerro Azul,4105201,2
Colombo,4105805,3
Contenda,4106209,2
Curitiba,4106902,1
Doutor Ulysses,4128633,2
Fazenda Rio Grande,4107652,4
Itaperuçu,4111258,2
Lapa,4113205,2
Mandirituba,4114302,2
Piên,4119103,2
Pinhais,4119152,3
Piraquara,4119509,4
Quatro Barras,4120804,2
Quitandinha,4121208,2
Rio Branco do Sul,4122206,2
Rio Negro,4122305,2
São José dos Pinhais,4125506,4
Tijucas do Sul,4127601,2
Tunas do Paraná,4127882,2
